bathroomcnt,bedroomcnt,buildingqualitytypeid,calculatedfinishedsquarefeet,finishedsquarefeet12,garagecarcnt,garagetotalsqft,lotsizesquarefeet,poolcnt,roomcnt,unitcnt,yearbuilt,numberofstories,fips_6037.0,fips_6059.0,fips_6111.0,regionidcounty_1286.0,regionidcounty_2061.0,regionidcounty_3101.0,log_garagetotalsqft,log_lotsizesquarefeet,log_calculatedfinishedsquarefeet,calc_bedbath,prod_bathroomcnt_bedroomcnt,taxvaluedollarcnt
4,4,8.0,3100.0,3100.0,2,633.0,4506.0,1.0,0,1,1998.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.452048954437226,8.413387022690648,8.03947991910045,1.0,16,1023282.0
1,2,8.0,1465.0,1465.0,1,0.0,12647.0,1.0,5,1,1967.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.445254378889308,7.290292882446597,0.5,2,464000.0
2,3,8.0,1243.0,1243.0,2,440.0,8432.0,1.0,6,1,1962.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.089044875446846,9.039907859574642,7.126087273299125,0.6666666666666666,6,564778.0
3,4,8.0,2376.0,2376.0,2,443.5,13038.0,1.0,0,1,1970.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.475700145423472,7.773594467360194,0.75,12,145143.0
3,3,8.0,1312.0,1312.0,2,443.5,278581.0,1.0,0,1,1964.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,12.53746772948253,7.180069874302796,1.0,9,119407.0
2,3,8.0,1492.0,1492.0,2,0.0,903.0,1.0,6,1,1982.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.806829360392176,7.30854279753919,0.6666666666666666,6,331064.0
3,4,9.0,2962.0,2962.0,2,443.5,63000.0,1.0,0,1,1950.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,11.050905878263567,7.993957547573565,0.75,12,773303.0
1,2,5.0,738.0,738.0,2,443.5,4214.0,1.0,0,1,1922.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,8.346404870435956,6.6052979209482015,0.5,2,218552.0
3,4,9.0,3039.0,3039.0,2,443.5,20028.0,1.0,0,1,1970.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.904936502301233,8.019612794400267,0.75,12,220583.0
3,2,8.0,1290.0,1290.0,2,443.5,54048.0,1.0,0,1,1980.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,10.897646321508597,7.1631723908466425,1.5,6,371361.0
3,4,8.0,2540.0,2540.0,2,443.5,10384.0,1.0,0,1,1999.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.096950054953959,9.248117736310213,7.840312983320164,0.75,12,430108.0
